Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
A N NET SERVICOS RESIDENCIAIS LTDA,0,138.00,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,0,138.00,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,0,138.00,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,50
A N NET SERVICOS RESIDENCIAIS LTDA,/32,223.00,IP BANDA LARGA,BANCO DO BRASIL,36,SALVADOR / BA (SDR),BA,FIBRA,50
ITAGUAI.NET SERVICOS DE MULTIMIDIA LTDA,0,180.00,IP BANDA LARGA,DIRECIONAL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,100
DELLALOPES TELECOM LTDA,0,100.00,IP BANDA LARGA,BANCO DO BRASIL,0,APUCARANA / PR (APU),PR,FIBRA,10
A. P. DE BARROS INFORMATICA LTDA,0,110.00,IP DEDICADO,BANCO DO BRASIL,0,ASSIS CHATEAUBRIAND / PR (ASD),PR,FIBRA,10
BRFIBRA TELECOMUNICAÇÕES LTDA,0,350.00,L2L LAST MILE,TJRS,0,PORTO ALEGRE / RS (PAE),RS,FIBRA,100
A MIL INTERNET FIBRA OPTICA LTDA,L2L,280.00,IP DEDICADO,VOGEL - CRÉDITO REAL,0,PORTO ALEGRE / RS (PAE),RS,FIBRA,30
SPEED PLANET TELECOMUNICACOES LTDA,0,400.00,IP DEDICADO,SICREDI,0,BOA ESPERANCA / ES (BAP),ES,FIBRA,52
SUNO TELECOM LTDA,0,697.00,IP DEDICADO,SICREDI,0,MARILANDIA / ES (MRW),ES,FIBRA,52
AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LTDA.,0,549.00,IP DEDICADO,ASSIS CONSULTORIA,0,UBERABA / MG (URA),MG,FIBRA,52
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.59,IP BANDA LARGA,BANCO DO BRASIL,0,JUIZ DE FORA / MG (JFA),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,JOAO PESSOA / PB (JPA),PB,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,JOAO PESSOA / PB (JPA),PB,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,GOIANIA / GO (GNA),GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,MANAUS / AM (MNS),AM,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,PALMAS / TO (PMJ),TO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,104.57,IP BANDA LARGA,BANCO DO BRASIL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.95,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SANTA INES / MA (SIS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,CACOAL / RO (CWL),RO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,RIO BRANCO / AC (RBO),AC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,141.71,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,PORTO VELHO / RO (PVO),RO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,MANAUS / AM (MNS),AM,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,RIO BRANCO / AC (RBO),AC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,GOIANIA / GO (GNA),GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,115.79,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,GOIANIA / GO (GNA),GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,ITABUNA / BA (ITB),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BARROQUINHA / CE (BQN),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.92,IP BANDA LARGA,BANCO DO BRASIL,0,SAO PAULO / SP (SPO),SP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,RIO BRANCO / AC (RBO),AC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,115.79,IP BANDA LARGA,BANCO DO BRASIL,0,PIRAQUARA / PR (PQA),PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,141.71,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,104.59,IP BANDA LARGA,BANCO DO BRASIL,0,SERRA / ES (SEA),ES,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,MANSIDAO / BA (MMD),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BEQUIMAO / MA (BEQ),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.59,IP BANDA LARGA,BANCO DO BRASIL,0,LAVRAS / MG (LAV),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,115.79,IP BANDA LARGA,BANCO DO BRASIL,0,MARINGA / PR (MGA),PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,100.96,IP BANDA LARGA,BANCO DO BRASIL,60,VITORIA DA CONQUISTA / BA (VCA),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,FEIRA DE SANTANA / BA (FSA),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,VILHENA / RO (VHA),RO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,115.85,IP BANDA LARGA,BANCO DO BRASIL,0,HULHA NEGRA / RS (HUNE),RS,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,104.59,IP BANDA LARGA,BANCO DO BRASIL,0,JUIZ DE FORA / MG (JFA),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,141.71,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,TERESINA / PI (TSA),PI,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.65,IP BANDA LARGA,BANCO DO BRASIL,0,MONTES CLAROS / MG (MCL),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,115.79,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,141.71,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,ANANINDEUA / PA (AIU),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.57,IP BANDA LARGA,BANCO DO BRASIL,60,BELO HORIZONTE / MG (BHE),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,141.71,IP BANDA LARGA,BANCO DO BRASIL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,115.79,IP BANDA LARGA,BANCO DO BRASIL,0,CURITIBA / PR (CTA),PR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,FORTALEZA / CE (FLA),CE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.93,IP BANDA LARGA,BANCO DO BRASIL,0,SAO JOSE DOS CAMPOS / SP (SJC),SP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,TARAUACA / AC (TAU),AC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,BELEM / PA (BLM),PA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,JOAO PESSOA / PB (JPA),PB,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,IMPERATRIZ / MA (ITZ),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,115.85,IP BANDA LARGA,BANCO DO BRASIL,0,BALNEARIO CAMBORIU / SC (BCU),SC,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.57,IP BANDA LARGA,BANCO DO BRASIL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,104.57,IP BANDA LARGA,BANCO DO BRASIL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,GOIANIA / GO (GNA),GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,SAO LUIS / MA (SLS),MA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,100.96,IP BANDA LARGA,BANCO DO BRASIL,60,VITORIA DA CONQUISTA / BA (VCA),BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,BOA VISTA / RR (BVA),RR,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,GOIANIA / GO (GNA),GO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,BRASILIA / DF (BSA),DF,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,NATAL / RN (NTL),RN,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,MACEIO / AL (MCO),AL,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.06,IP BANDA LARGA,BANCO DO BRASIL,0,MACAPA / AP (MPA),AP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.92,IP BANDA LARGA,BANCO DO BRASIL,0,SAO PAULO / SP (SPO),SP,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,PORTO VELHO / RO (PVO),RO,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,101.01,IP BANDA LARGA,BANCO DO BRASIL,0,PORTO VELHO / RO (PVO),RO,FIBRA,10
